time,open,high,low,close,volume,dxy_close,tnx_close,vix_close
2026-02-12 05:00:00+00:00,5090.0,5099.2998046875,5086.2001953125,5095.7998046875,759.0,96.93599700927734,4.171999931335449,17.649999618530273
2026-02-12 05:15:00+00:00,5096.0,5099.10009765625,5091.60009765625,5092.2998046875,441.0,96.98200225830078,4.171999931335449,17.649999618530273
2026-02-12 05:30:00+00:00,5092.7001953125,5093.39990234375,5085.7001953125,5092.7998046875,673.0,96.96499633789062,4.171999931335449,17.649999618530273
2026-02-12 05:45:00+00:00,5093.89990234375,5097.39990234375,5088.60009765625,5096.2998046875,312.0,96.9489974975586,4.171999931335449,17.649999618530273
2026-02-12 06:00:00+00:00,5097.2001953125,5097.7998046875,5083.60009765625,5090.7998046875,460.0,96.93000030517578,4.171999931335449,17.649999618530273
2026-02-12 06:15:00+00:00,5091.0,5092.0,5077.0,5077.0,684.0,97.02100372314453,4.171999931335449,17.649999618530273
2026-02-12 06:30:00+00:00,5076.89990234375,5080.0,5068.89990234375,5080.0,1254.0,96.97599792480469,4.171999931335449,17.649999618530273
2026-02-12 06:45:00+00:00,5080.0,5083.60009765625,5075.10009765625,5081.10009765625,878.0,96.9990005493164,4.171999931335449,17.649999618530273
2026-02-12 07:00:00+00:00,5080.89990234375,5087.5,5073.60009765625,5084.10009765625,840.0,96.95700073242188,4.171999931335449,17.649999618530273
2026-02-12 07:15:00+00:00,5085.0,5086.2998046875,5078.0,5083.60009765625,567.0,96.875,4.171999931335449,17.649999618530273
2026-02-12 07:30:00+00:00,5083.60009765625,5085.39990234375,5079.2998046875,5079.60009765625,317.0,96.89600372314453,4.171999931335449,17.649999618530273
2026-02-12 07:45:00+00:00,5079.0,5087.0,5078.10009765625,5085.2998046875,474.0,96.88200378417969,4.171999931335449,17.649999618530273
2026-02-12 08:00:00+00:00,5085.7001953125,5095.0,5085.2998046875,5089.2998046875,902.0,96.83699798583984,4.171999931335449,17.649999618530273
2026-02-12 08:15:00+00:00,5090.2001953125,5091.2001953125,5082.0,5082.0,544.0,96.8499984741211,4.171999931335449,17.5
2026-02-12 08:30:00+00:00,5081.7998046875,5084.89990234375,5073.5,5084.5,769.0,96.9020004272461,4.171999931335449,17.5
2026-02-12 08:45:00+00:00,5084.60009765625,5093.60009765625,5081.5,5090.0,815.0,96.83699798583984,4.171999931335449,17.3700008392334
2026-02-12 09:00:00+00:00,5089.5,5097.60009765625,5087.2998046875,5094.89990234375,1107.0,96.78399658203125,4.171999931335449,17.34000015258789
2026-02-12 09:15:00+00:00,5094.89990234375,5099.2001953125,5092.60009765625,5092.7998046875,632.0,96.79299926757812,4.171999931335449,17.270000457763672
2026-02-12 09:30:00+00:00,5093.2998046875,5095.89990234375,5090.0,5094.7001953125,528.0,96.78600311279297,4.171999931335449,17.280000686645508
2026-02-12 09:45:00+00:00,5094.89990234375,5102.5,5093.10009765625,5095.0,924.0,96.77200317382812,4.171999931335449,17.280000686645508
2026-02-12 10:00:00+00:00,5094.7998046875,5099.2998046875,5085.60009765625,5088.0,1112.0,96.83599853515625,4.171999931335449,17.40999984741211
2026-02-12 10:15:00+00:00,5087.7001953125,5088.5,5082.5,5083.2001953125,806.0,96.81700134277344,4.171999931335449,17.440000534057617
2026-02-12 10:30:00+00:00,5083.5,5088.0,5082.89990234375,5083.89990234375,1012.0,96.81800079345703,4.171999931335449,17.420000076293945
2026-02-12 10:45:00+00:00,5083.7998046875,5084.5,5077.0,5083.7998046875,1175.0,96.84600067138672,4.171999931335449,17.40999984741211
2026-02-12 11:00:00+00:00,5084.0,5087.2998046875,5080.60009765625,5082.7998046875,492.0,96.8270034790039,4.171999931335449,17.329999923706055
2026-02-12 11:15:00+00:00,5082.89990234375,5087.7998046875,5082.89990234375,5084.7001953125,309.0,96.8270034790039,4.171999931335449,17.360000610351562
2026-02-12 11:30:00+00:00,5084.7001953125,5086.7998046875,5083.0,5085.60009765625,218.0,96.85199737548828,4.171999931335449,17.479999542236328
2026-02-12 11:45:00+00:00,5086.10009765625,5090.2001953125,5083.5,5085.60009765625,534.0,96.80000305175781,4.171999931335449,17.3799991607666
