time,engine,signal,sl,tp,hold_min,result,pnl,lot,balance,hour
2026-03-05 09:52,MOM,SHORT,3.61,6.49,9,WIN,190.96,0.3,10142.0,9
2026-03-05 10:50,MR,SHORT,2.0,3.0,4,LOSS,-63.75,0.3,10078.25,10
2026-03-05 11:50,MOM,LONG,2.0,3.6,5,LOSS,-63.75,0.3,10014.5,11
2026-03-05 11:57,MOM,SHORT,2.0,3.6,1,LOSS,-63.75,0.3,9950.75,11
2026-03-05 14:18,MR,LONG,3.54,5.3,5,WIN,155.36,0.3,10106.11,14
2026-03-05 15:21,MOM,SHORT,5.0,9.0,2,LOSS,-153.75,0.3,9952.36,15
2026-03-05 17:03,MOM,LONG,3.17,5.71,9,WIN,167.51,0.3,10119.87,17
2026-03-06 09:21,MOM,SHORT,2.41,4.33,5,LOSS,-75.92,0.3,10043.95,9
2026-03-06 09:52,MOM,SHORT,2.75,4.96,1,LOSS,-86.38,0.3,9957.57,9
2026-03-06 11:49,MOM,SHORT,2.0,3.6,1,LOSS,-63.75,0.3,9893.82,11
2026-03-09 08:32,MR,LONG,2.11,3.16,2,WIN,91.13,0.3,9984.96,8
2026-03-09 09:08,MOM,LONG,3.05,5.49,4,WIN,161.03,0.3,10145.98,9
2026-03-09 09:16,MOM,LONG,3.27,5.89,4,LOSS,-101.98,0.3,10044.0,9
2026-03-09 09:42,MOM,SHORT,3.3,5.93,2,WIN,174.3,0.3,10218.3,9
2026-03-09 11:19,MOM,SHORT,2.26,4.07,1,WIN,118.44,0.3,10336.75,11
2026-03-09 15:01,MOM,SHORT,3.73,6.72,2,WIN,197.75,0.3,10534.49,15
2026-03-09 15:17,MOM,SHORT,3.93,7.07,5,LOSS,-121.52,0.3,10412.97,15
2026-03-09 15:25,MOM,LONG,3.63,6.54,12,LOSS,-112.78,0.3,10300.19,15
2026-03-09 17:52,MOM,LONG,2.08,3.74,7,LOSS,-66.15,0.3,10234.04,17
2026-03-10 09:01,MOM,SHORT,2.33,4.19,1,LOSS,-73.52,0.3,10160.52,9
2026-03-10 09:26,MOM,SHORT,2.0,3.6,2,LOSS,-63.75,0.3,10096.77,9
2026-03-10 10:00,MR,LONG,2.0,3.0,1,LOSS,-63.75,0.3,10033.02,10
2026-03-10 11:20,MOM,LONG,2.46,4.42,4,LOSS,-77.47,0.3,9955.56,11
2026-03-11 09:31,MOM,LONG,2.0,3.6,3,WIN,104.25,0.3,10059.81,9
2026-03-11 09:52,MOM,SHORT,2.0,3.6,2,LOSS,-63.75,0.3,9996.06,9
2026-03-11 11:04,MOM,LONG,2.0,3.6,1,LOSS,-63.75,0.3,9932.31,11
2026-03-11 11:47,MOM,LONG,2.02,3.64,3,LOSS,-64.44,0.3,9867.87,11
2026-03-11 14:42,MR,LONG,2.37,3.56,1,LOSS,-74.98,0.3,9792.89,14
2026-03-11 17:58,MOM,LONG,2.0,3.6,8,WIN,104.25,0.3,9897.14,17
2026-03-12 09:42,MOM,LONG,2.0,3.6,1,LOSS,-63.75,0.3,9833.39,9
2026-03-12 09:52,MOM,LONG,2.0,3.6,2,LOSS,-63.75,0.3,9769.64,9
2026-03-12 11:15,MR,LONG,2.0,3.0,4,LOSS,-63.75,0.3,9705.89,11
2026-03-12 11:34,MOM,SHORT,2.0,3.6,4,LOSS,-63.75,0.3,9642.14,11
2026-03-13 09:22,MOM,SHORT,2.0,3.6,7,LOSS,-63.75,0.3,9578.39,9
2026-03-13 10:15,MR,SHORT,2.0,3.0,2,LOSS,-63.75,0.3,9514.64,10
2026-03-13 11:08,MOM,SHORT,2.0,3.6,6,LOSS,-63.75,0.3,9450.89,11
2026-03-13 11:25,MOM,LONG,2.0,3.6,5,LOSS,-63.75,0.3,9387.14,11
2026-03-16 09:02,MOM,SHORT,2.09,3.75,1,LOSS,-66.32,0.3,9320.82,9
2026-03-16 09:21,MOM,SHORT,2.0,3.6,1,LOSS,-63.75,0.3,9257.07,9
2026-03-16 09:53,MOM,SHORT,2.5,4.51,6,WIN,131.4,0.3,9388.47,9
2026-03-16 11:10,MOM,LONG,2.0,3.6,1,WIN,104.25,0.3,9492.72,11
2026-03-16 11:17,MOM,LONG,2.14,3.85,2,WIN,111.65,0.3,9604.37,11
2026-03-16 15:38,MOM,LONG,2.96,5.33,6,LOSS,-92.55,0.3,9511.82,15
2026-03-16 15:52,MR,LONG,2.0,3.0,1,LOSS,-63.75,0.3,9448.07,15
2026-03-16 17:00,MOM,LONG,2.0,3.6,1,LOSS,-63.75,0.3,9384.32,17
2026-03-16 17:34,MOM,SHORT,2.13,3.83,9,WIN,111.04,0.3,9495.36,17
2026-03-16 17:48,MOM,SHORT,2.04,3.67,3,LOSS,-64.95,0.3,9430.41,17
2026-03-17 09:59,MR,LONG,2.0,3.0,2,WIN,86.25,0.3,9516.66,9
2026-03-17 10:41,MR,LONG,2.0,3.0,1,LOSS,-63.75,0.3,9452.91,10
2026-03-17 11:16,MR,SHORT,2.0,3.0,2,LOSS,-63.75,0.3,9389.16,11
2026-03-17 11:37,MOM,LONG,2.0,3.6,8,WIN,104.25,0.3,9493.41,11
2026-03-17 15:28,MOM,SHORT,2.71,4.89,1,WIN,142.82,0.3,9636.23,15
2026-03-17 15:35,MOM,SHORT,3.17,5.7,1,WIN,167.2,0.3,9803.43,15
2026-03-17 15:41,MOM,SHORT,4.59,8.26,1,LOSS,-141.41,0.3,9662.03,15
2026-03-17 15:53,MOM,LONG,3.23,5.81,9,LOSS,-100.61,0.3,9561.42,15
2026-03-17 17:02,MR,SHORT,2.0,3.0,15,WIN,58.49,0.3,9619.91,17
2026-03-18 09:25,MOM,LONG,2.0,3.6,2,LOSS,-63.75,0.3,9556.16,9
2026-03-18 11:26,MOM,SHORT,3.29,5.91,1,WIN,173.68,0.3,9729.84,11
2026-03-18 11:35,MOM,SHORT,4.29,7.72,5,WIN,227.99,0.3,9957.83,11
2026-03-18 14:05,MR,SHORT,3.66,5.48,5,WIN,160.76,0.3,10118.59,14
2026-03-18 17:24,MR,SHORT,2.0,3.0,1,LOSS,-63.75,0.3,10054.84,17
2026-03-18 17:34,MOM,LONG,2.31,4.16,4,WIN,120.91,0.3,10175.75,17
2026-03-18 17:59,MOM,SHORT,2.0,3.6,1,LOSS,-63.75,0.3,10112.0,17
2026-03-19 09:19,MOM,LONG,5.0,9.0,4,WIN,266.25,0.3,10378.25,9
2026-03-19 09:51,MOM,SHORT,4.98,8.97,1,LOSS,-153.24,0.3,10225.01,9
2026-03-19 09:59,MOM,SHORT,5.0,9.0,1,LOSS,-153.75,0.3,10071.26,9
2026-03-19 11:02,MOM,LONG,5.0,9.0,1,LOSS,-153.75,0.3,9917.51,11
2026-03-19 11:21,MOM,LONG,4.09,7.35,5,LOSS,-126.32,0.3,9791.19,11
