result,pnl,lot,entry,sl,tp1,tp2,direction,bar,time,engine,balance_before,balance_after
SL,0.0,0.5,4614.2001953125,4614.2001953125,4607.521392116122,4602.178349559019,SHORT,652,2026-01-16 07:00:00+00:00,ICT/SMC,10021.130000000001,10021.13
SL,0.0,0.5,4611.5,4611.5,4604.849273976586,4599.528693157855,SHORT,655,2026-01-16 07:45:00+00:00,ICT/SMC,10021.130000000001,10021.13
SL,0.0,0.5,4610.60009765625,4610.60009765625,4605.428956570485,4601.292043701874,SHORT,664,2026-01-16 10:00:00+00:00,ICT/SMC,10021.130000000001,10021.13
SL,-25.9,0.5,4610.39990234375,4615.5800875661425,4605.2197171213575,4601.075568943444,SHORT,668,2026-01-16 11:00:00+00:00,ICT/SMC,10021.130000000001,9995.23
TP2,32.35,0.5,4615.0,4615.0,4610.377863776764,4606.680154798175,SHORT,672,2026-01-16 12:00:00+00:00,ICT/SMC,9995.230000000001,10027.58
SL,0.0,0.5,4611.0,4611.0,4603.668493956269,4597.803289121284,SHORT,680,2026-01-16 14:00:00+00:00,ICT/SMC,10027.580000000002,10027.58
SL,0.0,0.5,4594.2001953125,4594.2001953125,4585.812422087654,4579.102203507778,SHORT,702,2026-01-16 19:30:00+00:00,ICT/SMC,10027.580000000002,10027.58
SL,-34.62,0.5,4827.2998046875,4834.224405314055,4820.375204060945,4814.835523559701,SHORT,905,2026-01-22 06:45:00+00:00,ICT/SMC,10027.580000000002,9992.96
SL,0.0,0.5,4834.39990234375,4834.39990234375,4827.580747984177,4822.1254244965185,SHORT,908,2026-01-22 07:30:00+00:00,ICT/SMC,9992.960000000001,9992.96
SL,-32.27,0.5,4827.2998046875,4833.754795312698,4820.844814062302,4815.680821562144,SHORT,911,2026-01-22 08:15:00+00:00,ICT/SMC,9992.960000000001,9960.69
SL,-32.89,0.5,4828.39990234375,4834.978403211649,4821.821401475851,4816.558600781533,SHORT,919,2026-01-22 10:15:00+00:00,ICT/SMC,9960.69,9927.8
